meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1244,9590,2024-09-01T13:47:56+00:00,,32,Other,,,,,CAR 4 (NOR) TIME 1:24.940 DELETED - TRACK LIMITS AT TURN 4 LAP 31 15:46:43
1244,9590,2024-09-01T13:48:10+00:00,,32,Other,,,,,CAR 63 (RUS) TIME 1:25.331 DELETED - TRACK LIMITS AT TURN 2 LAP 31 15:46:51
1244,9590,2024-09-01T13:53:21+00:00,,36,Other,,,,,CAR 23 (ALB) TIME 1:26.282 DELETED - TRACK LIMITS AT TURN 2 LAP 33 15:49:58
1244,9590,2024-09-01T13:53:48+00:00,10.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:53:48
1244,9590,2024-09-01T13:54:03+00:00,24.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:54:03
1244,9590,2024-09-01T13:56:30+00:00,27.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:56:29
1244,9590,2024-09-01T13:56:58+00:00,,38,Other,,,,,CAR 23 (ALB) TIME 1:25.882 DELETED - TRACK LIMITS AT TURN 2 LAP 37 15:55:40
1244,9590,2024-09-01T13:57:56+00:00,24.0,39,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:57:56
1244,9590,2024-09-01T13:58:23+00:00,77.0,39,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:58:23
1244,9590,2024-09-01T14:01:42+00:00,,42,Other,,,,,CAR 18 (STR) TIME 1:25.777 DELETED - TRACK LIMITS AT TURN 2 LAP 40 16:00:24
1244,9590,2024-09-01T14:01:44+00:00,77.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:01:44
1244,9590,2024-09-01T14:03:50+00:00,24.0,43,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:03:49
1244,9590,2024-09-01T14:03:50+00:00,77.0,43,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:03:49
1244,9590,2024-09-01T14:04:05+00:00,31.0,43,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:04:05
1244,9590,2024-09-01T14:04:26+00:00,24.0,44,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:04:25
1244,9590,2024-09-01T14:04:58+00:00,10.0,44,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:04:57
1244,9590,2024-09-01T14:05:56+00:00,24.0,45,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:05:56
1244,9590,2024-09-01T14:07:56+00:00,10.0,46,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:07:56
1244,9590,2024-09-01T14:11:08+00:00,27.0,48,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:11:08
1244,9590,2024-09-01T14:11:19+00:00,24.0,49,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:11:18
1244,9590,2024-09-01T14:12:04+00:00,18.0,49,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:12:03
1244,9590,2024-09-01T14:12:21+00:00,77.0,49,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:12:21
1244,9590,2024-09-01T14:13:07+00:00,31.0,50,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:13:07
1244,9590,2024-09-01T14:13:35+00:00,18.0,50,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:13:34
1244,9590,2024-09-01T14:14:19+00:00,18.0,51,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:14:19
1244,9590,2024-09-01T14:14:58+00:00,31.0,51,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:14:57
1244,9590,2024-09-01T14:16:14+00:00,18.0,52,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:16:14
1244,9590,2024-09-01T14:16:40+00:00,18.0,52,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:16:39
1244,9590,2024-09-01T14:17:53+00:00,24.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:17:53
1244,9590,2024-09-01T14:18:15+00:00,,53,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1244,9590,2024-09-01T14:18:15.374000+00:00,,53,SessionStatus,,,,,SESSION FINISHED
1244,9590,2024-09-01T14:18:36+00:00,24.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:18:35
