Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-09-01 13:22:08,Other,CAR 55 (SAI) TIME 1:25.423 DELETED - TRACK LIMITS AT TURN 2 LAP 13 15:20:51,,,,,,14
2024-09-01 13:26:21,Other,PIT LANE INCIDENT INVOLVING CAR 3 (RIC) NOTED - FAILING TO SERVE TIME PENALTY CORRECTLY,,,,,,17
2024-09-01 13:27:21,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FAILING TO SERVE TIME PENALTY CORRECTLY,,,,,,17
2024-09-01 13:28:31,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 3 (RIC) - FAILING TO SERVE TIME PENALTY CORRECTLY,,,,,,18
2024-09-01 13:30:30,Other,TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 10 (GAS) NOTED - CAUSING A COLLISION,,,,,,19
2024-09-01 13:31:45,Other,CAR 14 (ALO) TIME 1:24.882 DELETED - TRACK LIMITS AT TURN 4 LAP 18 15:28:55,,,,,,20
2024-09-01 13:31:48,Other,CAR 20 (MAG) TIME 1:26.533 DELETED - TRACK LIMITS AT TURN 5 LAP 18 15:29:03,,,,,,20
2024-09-01 13:31:52,Other,CAR 10 (GAS) TIME 1:26.182 DELETED - TRACK LIMITS AT TURN 5 LAP 18 15:29:03,,,,,,20
2024-09-01 13:35:41,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,23
2024-09-01 13:38:15,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION,,,,,,25
2024-09-01 13:42:50,Other,CAR 10 (GAS) TIME 1:27.191 DELETED - TRACK LIMITS AT TURN 4 LAP 27 15:41:52,,,,,,28
2024-09-01 13:47:42,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:47:42,,BLUE,Driver,,10,32
2024-09-01 13:47:56,Other,CAR 4 (NOR) TIME 1:24.940 DELETED - TRACK LIMITS AT TURN 4 LAP 31 15:46:43,,,,,,32
2024-09-01 13:48:10,Other,CAR 63 (RUS) TIME 1:25.331 DELETED - TRACK LIMITS AT TURN 2 LAP 31 15:46:51,,,,,,32
2024-09-01 13:53:21,Other,CAR 23 (ALB) TIME 1:26.282 DELETED - TRACK LIMITS AT TURN 2 LAP 33 15:49:58,,,,,,36
2024-09-01 13:53:48,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:53:48,,BLUE,Driver,,10,36
2024-09-01 13:54:03,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:54:03,,BLUE,Driver,,24,36
2024-09-01 13:56:30,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:56:29,,BLUE,Driver,,27,38
2024-09-01 13:56:58,Other,CAR 23 (ALB) TIME 1:25.882 DELETED - TRACK LIMITS AT TURN 2 LAP 37 15:55:40,,,,,,38
2024-09-01 13:57:56,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:57:56,,BLUE,Driver,,24,39
2024-09-01 13:58:23,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:58:23,,BLUE,Driver,,77,39
2024-09-01 14:01:42,Other,CAR 18 (STR) TIME 1:25.777 DELETED - TRACK LIMITS AT TURN 2 LAP 40 16:00:24,,,,,,42
2024-09-01 14:01:44,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:01:44,,BLUE,Driver,,77,42
2024-09-01 14:03:50,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:03:49,,BLUE,Driver,,24,43
2024-09-01 14:03:50,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:03:49,,BLUE,Driver,,77,43
2024-09-01 14:04:05,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:04:05,,BLUE,Driver,,31,43
2024-09-01 14:04:26,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:04:25,,BLUE,Driver,,24,44
2024-09-01 14:04:58,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:04:57,,BLUE,Driver,,10,44
2024-09-01 14:05:56,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:05:56,,BLUE,Driver,,24,45
2024-09-01 14:07:56,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:07:56,,BLUE,Driver,,10,46
2024-09-01 14:11:08,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:11:08,,BLUE,Driver,,27,48
2024-09-01 14:11:19,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:11:18,,BLUE,Driver,,24,49
2024-09-01 14:12:04,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:12:03,,BLUE,Driver,,18,49
2024-09-01 14:12:21,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:12:21,,BLUE,Driver,,77,49
2024-09-01 14:13:07,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:13:07,,BLUE,Driver,,31,50
2024-09-01 14:13:35,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:13:34,,BLUE,Driver,,18,50
2024-09-01 14:14:19,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:14:19,,BLUE,Driver,,18,51
2024-09-01 14:14:58,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:14:57,,BLUE,Driver,,31,51
2024-09-01 14:16:14,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:16:14,,BLUE,Driver,,18,52
2024-09-01 14:16:40,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:16:39,,BLUE,Driver,,18,52
2024-09-01 14:17:53,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:17:53,,BLUE,Driver,,24,53
2024-09-01 14:18:15,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,53
2024-09-01 14:18:36,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:18:35,,BLUE,Driver,,24,53
